omny.fm へのリンク,日付,タイトル,コメント,MC,出演者1,出演者2,出演者3,音源編集,備考・メモ・作業された方のお名前(ハンドルネーム可)
https://omny.fm/shows/asahi/6-2,"Sun, 01 Nov 2020 21:00:00 +0000",#6-2 お医者さんごっこという性暴力　逃げていいと知ってたら,,神田大介,"大久保真紀,編集委員",,,,Noriko Hiramatsu
https://omny.fm/shows/asahi/6-3,"Sun, 08 Nov 2020 21:00:00 +0000",#6-3 僕に性暴力をした神父への怒り　もう記憶を閉じ込めない,,神田大介,"大久保真紀,編集委員",,,,Noriko Hiramatsu
https://omny.fm/shows/asahi/5-6-009,"Sun, 15 Nov 2020 21:00:00 +0000",#6-4 家の中でのこと外に言えない　秘めてきた兄からの性暴力,,神田大介,"大久保真紀,編集委員",,,,Noriko Hiramatsu
https://omny.fm/shows/asahi/6-5,"Sun, 22 Nov 2020 21:00:00 +0000",#6-5 義父の性暴力で妊娠した子を殺害　刑に服した女性の手紙,,神田大介,"大久保真紀,編集委員",,,,Noriko Hiramatsu
https://omny.fm/shows/asahi/7-1,"Sun, 29 Nov 2020 21:00:00 +0000",#7-1 こんな夜更けにパクチーかよ　手渡された約束の花束,,神田大介,"佐藤陽,文化くらし報道部",,,,Noriko Hiramatsu
https://omny.fm/shows/asahi/7-2-god-bless-you,"Sat, 05 Dec 2020 21:00:00 +0000",#7-2 笑顔咲いた God bless you　人生の最期は歌とともに,,神田大介,"佐藤陽,文化くらし報道部",,,,Noriko Hiramatsu
https://omny.fm/shows/asahi/7-3-la,"Sun, 13 Dec 2020 21:00:00 +0000",#7-3 医師は「大丈夫」でも「持たない！」　おばぁたちは見抜いた,,神田大介,"佐藤陽,文化くらし報道部",,,,Noriko Hiramatsu
https://omny.fm/shows/asahi/8-1,"Mon, 21 Dec 2020 03:00:00 +0000",#8-1 音声配信ビジネス、今どうなってる？　気鋭の社長に聞いてみた,,神田大介,"八木太亮,株式会社オトナル代表取締役","中島晋也,総合プロデュース本部",,,Noriko Hiramatsu
https://omny.fm/shows/asahi/8-2,"Sun, 27 Dec 2020 21:00:00 +0000",#8-2 「金融」が実はいちばん音声向き？　海外に見るポッドキャスト市場,,神田大介,"八木太亮,株式会社オトナル代表取締役","中島晋也,総合プロデュース本部",,,Noriko Hiramatsu
https://omny.fm/shows/asahi/8-3,"Sun, 03 Jan 2021 21:00:00 +0000",#8-3 ポッドキャスト、どんな人が聞いている？　意外と××でした…,,神田大介,"八木太亮,株式会社オトナル代表取締役","中島晋也,総合プロデュース本部",,,Noriko Hiramatsu
