omny.fm へのリンク,日付,タイトル,コメント,MC,出演者1,出演者2,出演者3,音源編集,備考・メモ・作業された方のお名前(ハンドルネーム可)
https://omny.fm/shows/asahi/wt26,"Tue, 11 Apr 2023 07:55:00 +0000",笑い飯哲夫のしんぶん教室㉖ 文化庁、京都で業務開始,,"哲夫,笑い飯","小寺右子,ABCアナウンサー",,,向平真,Anzu
https://omny.fm/shows/asahi/1067-1,"Tue, 11 Apr 2023 19:00:00 +0000",心臓キュウッ、育児パパへの向かい風　仕事と子育て一緒に悩みましょう #1067,,神田大介,"シカゴリラ,https://twitter.com/chicagoriller","河原夏季,withnews編集部,https://twitter.com/n_kawahara725","高橋健次郎,くらし報道部,https://twitter.com/takahashi__k",杢田光,
https://omny.fm/shows/asahi/1068,"Wed, 12 Apr 2023 19:00:00 +0000",アフリカ経済、ヤバコンバレー　再エネ発電なんと9割の国も #1068,,神田大介,"今泉奏,経済部",,,杢田光,
https://omny.fm/shows/asahi/1069,"Thu, 13 Apr 2023 19:00:00 +0000",「100グラムも太れない」成長期にあえぐフィギュア選手　骨折や摂食障害食い止めるには #1069,,橋本佳奈,"中小路,編集委員,スポーツと社会",,,橋本佳奈,
https://omny.fm/shows/asahi/1070,"Fri, 14 Apr 2023 19:00:00 +0000",鳳凰堂だけじゃない1000年前から受け継ぐすごさ　平等院再入門（前編） #1070,,向平真,"小西良昭,京都・宇治支局長",,,向平真,
https://omny.fm/shows/asahi/1071,"Sat, 15 Apr 2023 19:00:00 +0000","電波の入らない""秘境""のお寺が初公開　春の京都で寺社さんぽ #1071",,"久保智祥,大阪音声チーム・天台宗僧侶","茂貴広,京都古文化保存教会事業課長","筒井次郎,大阪文化部 記者",,久保智祥,
https://omny.fm/shows/asahi/1072,"Sun, 16 Apr 2023 19:00:00 +0000",パスワードが面倒なら、体に埋めればいいじゃない　鍵という証し（前編） #1072,,神田大介,"星野眞三雄,GLOBE編集部",,,波絵理子,
https://omny.fm/shows/asahi/1073,"Mon, 17 Apr 2023 19:00:00 +0000",暗証番号はなぜ4桁なの？　それが私のアイデンティティ　鍵という証し（後編） #1073,,神田大介,"星野眞三雄,GLOBE編集部",,,波絵理子,
https://omny.fm/shows/asahi/wt27,"Tue, 18 Apr 2023 07:55:00 +0000",笑い飯哲夫のしんぶん教室㉗ サルと触れあい、愛され70年,,"哲夫,笑い飯","小寺右子,ABCアナウンサー",,,向平真,Anzu
https://omny.fm/shows/asahi/1074,"Tue, 18 Apr 2023 19:00:00 +0000",AI、テレワーク、ケア労働　激変の今だから「働く」を語ろう　oViceイベント第2弾 #1074,,神田大介,"ジョン・セーヒョン,oVice代表取締役CEO","奥山晶二郎,サムライト取締役CCO","伊藤大地,朝日新聞デジタル編集長",飯沼優仁,
https://omny.fm/shows/asahi/1075,"Wed, 19 Apr 2023 19:00:00 +0000",私は変わらない、社会を変える　「かがみよかがみ」が届ける声 #1075,,神田大介,"伊藤あかり,かがみよかがみ編集長,https://twitter.com/korapea","奥山晶二郎,サムライトCCO,withnews前編集長,https://twitter.com/o98mas",,菅澤百恵,
https://omny.fm/shows/asahi/1076,"Thu, 20 Apr 2023 19:00:00 +0000",カズワン沈没、いくつもの分岐点　知床遊覧船事故から1年が過ぎて #1076,,神田大介,"佐野楓,北海道報道センター",,,堀江麻友,
https://omny.fm/shows/asahi/1077,"Fri, 21 Apr 2023 19:00:00 +0000",国宝や重文盛りだくさん　平等院バスも白い花　平等院再入門（後編）#1077,,向平真,"小西良昭,京都・宇治支局長",,,向平真,
https://omny.fm/shows/asahi/1078,"Sat, 22 Apr 2023 19:00:00 +0000",法要で使われていたのは平安時代の絵でした　重文になり修理されお披露目されるまで #1078,,"久保智祥,大阪音声チーム・天台宗僧侶","茂貴広,京都古文化保存教会事業課長","筒井次郎,大阪文化部 記者",,久保智祥,
https://omny.fm/shows/asahi/1079,"Sun, 23 Apr 2023 19:00:00 +0000",性被害の告発とジャニーズ事務所のコンプラ　企業や消費者は無関係か #1079,,宮沢賢一,神田大介,安田桂子,,安田桂子,
https://omny.fm/shows/asahi/1080,"Mon, 24 Apr 2023 19:00:00 +0000",旧民主党系の仲間割れ、なぜなんですか階猛さん　小沢一郎氏の素顔って？ #1080,,神田大介,"秋山訓子,編集委員",,,杢田光,
https://omny.fm/shows/asahi/wt28,"Tue, 25 Apr 2023 07:55:00 +0000",笑い飯哲夫のしんぶん教室㉘ 『おっさんビジネス用語』わかる？,,"哲夫,笑い飯","小寺右子,ABCアナウンサー",,,向平真,Anzu
https://omny.fm/shows/asahi/1081,"Tue, 25 Apr 2023 19:00:00 +0000",子育て支援に引け目を感じちゃう　「仕事しなきゃダメ症候群」を考えよう #1081,,神田大介,"河原夏季,withnews編集部,https://twitter.com/n_kawahara725","高橋健次郎,くらし報道部,https://twitter.com/takahashi__k",,杢田光,
https://omny.fm/shows/asahi/1082,"Wed, 26 Apr 2023 19:00:00 +0000",わたしアプリ婚しました　出会いのスタンダード化、「プチ失恋」の憂鬱　 #1082,,神田大介,"田中紳顕,東京社会部,https://twitter.com/ntanaka_asahi",,,岸上渉,
https://omny.fm/shows/asahi/1-1083,"Thu, 27 Apr 2023 19:00:00 +0000",ショートヘアにしたら「恋人いらないの？」　韓国のアンチフェミニズム #1083,,神田大介,"秋山訓子,編集委員",,,波絵理子,
https://omny.fm/shows/asahi/1084,"Fri, 28 Apr 2023 07:55:00 +0000",当事者マインドもっていますか？　車いすの人へのサポート考えた（月刊朝ポキ4月号） #1084,,堀江麻友,"水野梓,ビジネス編集部",杢田光,波絵理子,菅澤百恵,
https://omny.fm/shows/asahi/1085,"Fri, 28 Apr 2023 19:00:00 +0000",不思議なものいっぱい博物館としての側面も　平等院再入門２（前篇） #1085,,向平真,"神居文彰,平等院住職","小西良昭,京都・宇治支局長",,向平真,
https://omny.fm/shows/asahi/1086,"Sat, 29 Apr 2023 19:00:00 +0000",文化庁が京都にやってきた　地元・文化財関係者が寄せる期待 #1086,,"久保智祥,大阪音声チーム,天台宗僧侶","茂貴広,京都古文化保存教会事業課長","筒井次郎,大阪文化部 記者",,"久保智祥,大阪音声チーム,天台宗僧侶",
https://omny.fm/shows/asahi/1087,"Sun, 30 Apr 2023 19:00:00 +0000",リスキリングとAI社会 　「生涯学習」から何が変わっちゃったんですか #1087,,神田大介,"高重治香,オピニオン編集部",,,堀江麻友,
https://omny.fm/shows/asahi/1088,"Mon, 01 May 2023 19:00:00 +0000",2050年には年間1千万人が死亡？　じわじわ来ている耐性菌 #1088,,木下広大,"吉備彩日,科学みらい部",,,木下広大,
https://omny.fm/shows/asahi/wt29,"Tue, 02 May 2023 07:55:00 +0000",笑い飯哲夫のしんぶん教室㉙ 稲作担い手にロボットを,,"哲夫,笑い飯","小寺右子,ABCアナウンサー",,,向平真,Anzu
https://omny.fm/shows/asahi/1089,"Tue, 02 May 2023 19:00:00 +0000",出生率3.0は幸せか　「子どもがいてナンボ」の社会、あたたかさと圧力と #1089,,神田大介,"高久潤,エルサレム支局",,,杢田光,
https://omny.fm/shows/asahi/1090,"Wed, 03 May 2023 19:00:00 +0000",死んだ息子の精子でかなえた「夢」　愛しているのは子どもか、子どもを産むことか #1090,,神田大介,"高久潤,エルサレム支局",,,杢田光,
https://omny.fm/shows/asahi/1091,"Thu, 04 May 2023 19:00:00 +0000",①BOOWY派かTM NETWORK派か　懐メロ合戦は突然に #1091,,神田大介,"冨名腰隆,中国総局",,,堀江麻友,
https://omny.fm/shows/asahi/1092,"Thu, 04 May 2023 19:05:00 +0000",②上に政策あれば下に対策あり　中国の監視をすり抜ける投稿術 #1092,,神田大介,"冨名腰隆,中国総局",,,堀江麻友,
https://omny.fm/shows/asahi/1093,"Thu, 04 May 2023 19:10:00 +0000",③「ちょっとお茶飲もう」は中国の常套手段　監視下の取材を語ります #1093,,神田大介,"冨名腰隆,中国総局",,,杢田光,
https://omny.fm/shows/asahi/1094,"Thu, 04 May 2023 19:15:00 +0000",④選挙はTOKIOの「宙船」に通ず　おまえのオールをまかせるな #1094,,神田大介,"冨名腰隆,中国総局",,,杢田光,
https://omny.fm/shows/asahi/1095,"Fri, 05 May 2023 19:00:00 +0000",鳳凰堂支えたのは茶人たち？　藤原氏の衰退後も守られた「奇跡」　平等院再入門2（後篇） #1095,,向平真,"神居文彰,平等院住職","小西良昭,京都・宇治支局長",,向平真,
https://omny.fm/shows/asahi/1096,"Sat, 06 May 2023 19:00:00 +0000",まるでカルボナーラな精進麺　重文の経典版木守るため開店　禅寺ラーメン #1096,,向平真,"小西良昭,京都・宇治支局長",,,向平真,
https://omny.fm/shows/asahi/9-1097,"Sun, 07 May 2023 19:00:00 +0000",①「9条があるから戦争しなかった」は本当か　国防をもっと話そうよ #1097,,宮沢賢一,神田大介,安田桂子,,安田桂子,
https://omny.fm/shows/asahi/1098,"Sun, 07 May 2023 19:05:00 +0000",②たかが土産されど土産　コミュニケーションの種にしてみる #1098,,宮沢賢一,神田大介,安田桂子,,堀江麻友,
https://omny.fm/shows/asahi/1099,"Sun, 07 May 2023 19:10:00 +0000",③なぜデマを流すの？　発信者に聞いてみた　明日もしゃべろう #1099,,宮沢賢一,神田大介,安田桂子,,杢田光,
https://omny.fm/shows/asahi/1100,"Mon, 08 May 2023 19:00:00 +0000",維新、躍進したように見えるけど　関西の統一地方選を総まくり  #1100,,岸上渉,"池尻和生,大阪ネットワーク報道本部デスク",,,岸上渉,
https://omny.fm/shows/asahi/wt30,"Tue, 09 May 2023 07:55:00 +0000",笑い飯哲夫のしんぶん教室㉚ 3世紀の祭祀用？木製仮面,,"哲夫,笑い飯","小寺右子,ABCアナウンサー",,,向平真,Anzu
https://omny.fm/shows/asahi/1101,"Tue, 09 May 2023 19:00:00 +0000",子どもに飽きられちゃった　親の悲哀を笑い飛ばそう #1101,,神田大介,"河原夏季,withnews編集部,https://twitter.com/n_kawahara725","高橋健次郎,くらし報道部,https://twitter.com/takahashi__k",,杢田光,
https://omny.fm/shows/asahi/1102,"Wed, 10 May 2023 19:00:00 +0000",回転ずしと迷惑動画　賠償のリアルと、くら寿司の「大発明」 #1102,,木下広大,"金子智彦,大阪経済部",,,木下広大,
https://omny.fm/shows/asahi/1103,"Thu, 11 May 2023 19:00:00 +0000",自販機ニッポン、結婚指輪も売ってます　独自の技術とやさしさいっぱい #1103,,神田大介,"山下裕志,東京経済部",,,菅澤百恵,
https://omny.fm/shows/asahi/1104,"Fri, 12 May 2023 07:55:00 +0000",その無意識な言葉、誰かを傷つけてない？　 命の重みを考えた春（月刊朝ポキ5月号） #1104,,堀江麻友,加地ゆうき,杢田光,岸上渉,岸上渉,
https://omny.fm/shows/asahi/1105,"Fri, 12 May 2023 19:00:00 +0000",朝日新聞社の歴史（番外編④） テロの連鎖、重なる大正と令和 #1105,,神田大介,"阪本輝昭,コンテンツ編成本部大阪統括マネージャー（代理）",,,岸上渉,Anzu
https://omny.fm/shows/asahi/1106,"Sat, 13 May 2023 19:00:00 +0000",フィギュア、世界制覇の日本勢「かなだい」のアイスダンス、ペアとどう違う? #1106,,木下広大,橋本佳奈,,,橋本佳奈,ネジート
https://omny.fm/shows/asahi/1107,"Sun, 14 May 2023 19:00:00 +0000",ソーリ、やりたいことが見えません　岸田文雄政権は「政治じゃない、単なる行政」なのか #1107,,神田大介,"石松恒,政治部","西村圭史,政治部",,堀江麻友,ネジート
https://omny.fm/shows/asahi/1108,"Mon, 15 May 2023 19:00:00 +0000",岸田官邸の舞台裏　黒子役の秘書官、そして「拒否権」を持つ側近 #1108,,神田大介,"阿部彰芳,政治部","高木真也,政治部",,堀江麻友,ネジート
https://omny.fm/shows/asahi/wt31,"Tue, 16 May 2023 07:55:00 +0000",笑い飯哲夫のしんぶん教室㉛ 新聞読み方講座,,"哲夫,笑い飯","小寺右子,ABCアナウンサー",,,向平真,Anzu
https://omny.fm/shows/asahi/1109,"Tue, 16 May 2023 19:00:00 +0000",次の首相は誰だ　自民党内の力学をみる　最大派閥・安倍派の現状は #1109,,神田大介,"楢崎貴司,政治部","松山紫乃,政治部",,安田桂子,
https://omny.fm/shows/asahi/1110,"Wed, 17 May 2023 19:00:00 +0000",「岸田ビジョン」を読んでみた　見えない本音と浮かぶしたたかさ #1110,,神田大介,"小手川太朗,政治部","高橋杏璃,政治部",,菅澤百恵,ネジート
https://omny.fm/shows/asahi/1111,"Thu, 18 May 2023 07:55:00 +0000",加藤登紀子さんが語る「百万本のバラ」が持つ力　広島G7を「貸し舞台」にしないために  #1111,,岸上渉,"副島英樹,編集委員,広島総局",,,岸上渉,ネジート
https://omny.fm/shows/asahi/1112,"Thu, 18 May 2023 19:00:00 +0000",オバマ氏がハグした被爆者、生涯をかけた調査と信念　広島G7を前に  #1112,,岸上渉,"副島英樹,編集委員,広島総局",,,岸上渉,ネジート
https://omny.fm/shows/asahi/1113,"Fri, 19 May 2023 19:00:00 +0000",朝日新聞社の歴史（番外編⑤） 普通選挙と治安維持法、そして弾圧の時代へ #1113,,神田大介,"阪本輝昭,コンテンツ編成本部大阪統括マネージャー（代理）",,,岸上渉,Anzu
https://omny.fm/shows/asahi/1114,"Sat, 20 May 2023 19:00:00 +0000",半壊した店舗から命がけでハンコを救出　28年前の銀行員たちの物語 #1114,,木下広大,"吉田貴司,大阪経済部",,,木下広大,
https://omny.fm/shows/asahi/1115,"Sun, 21 May 2023 19:00:00 +0000",①明け方の緊急地震速報、とっさに動けなかった　教訓にして備える #1115,,宮沢賢一,神田大介,安田桂子,,安田桂子,
https://omny.fm/shows/asahi/1116,"Sun, 21 May 2023 19:05:00 +0000",②中日ドラゴンズと「亡命」のリアル　そんなに単純な話じゃない #1116,,宮沢賢一,神田大介,安田桂子,,杢田光,
https://omny.fm/shows/asahi/lgbt-1117,"Sun, 21 May 2023 19:10:00 +0000",③LGBT法案は骨抜きになったか　社会の理解は進み、もう後戻りしない #1117,,宮沢賢一,神田大介,安田桂子,,望月愛実,
https://omny.fm/shows/asahi/1118,"Mon, 22 May 2023 19:00:00 +0000",米山隆一さん、あのツイートでいいんですか？　立憲は「風紀委員に見えてはいけない」 #1118,,神田大介,"秋山訓子,編集委員",,,岸上渉,
https://omny.fm/shows/asahi/wt32,"Tue, 23 May 2023 07:55:00 +0000",笑い飯哲夫のしんぶん教室㉜ コロナ対応『平時』へ,,"哲夫,笑い飯","小寺右子,ABCアナウンサー",,,向平真,Anzu
https://omny.fm/shows/asahi/1119,"Tue, 23 May 2023 19:00:00 +0000",リスキリングに駆られる派？ 楽しむ派？　子育てと仕事のはざまで #1119,,神田大介,"河原夏季,withnews編集部,https://twitter.com/n_kawahara725","高橋健次郎,くらし報道部,https://twitter.com/takahashi__k",,波絵理子,
https://omny.fm/shows/asahi/1120,"Wed, 24 May 2023 19:00:00 +0000",いまさら聞けない「AIって？」　なんで世界がザワつくのか、これ1本でわかります #1120,,神田大介,"渡辺淳基,経済部",,,岸上渉,
https://omny.fm/shows/asahi/1121,"Thu, 25 May 2023 19:00:00 +0000",トップスターが異例の休養宣言　タカラジェンヌの働き方どうなる #1121,,"河合真美江,大阪本社編集局","田部愛,大阪本社文化部",,,橋本佳奈,
